name,smiles
Methanol,CO
Ethanol,CCO
Acetic Acid,CC(=O)O
Sodium Methoxide,[Na+].[O-]C
tert-Butyl Chloride,CC(C)(C)Cl
Methyl Ethyl Ether,CCOC
Bromoethane,CCBr
Sodium Hydroxide,[Na+].[OH-]
2-Methylprop-1-ene,C=C(C)C
Ethyl Acetate,CC(=O)OCC
Benzene,c1ccccc1
Water,O
Sodium Acetate,CC(=O)[O-].[Na+]
Phenylmagnesium Bromide,c1ccccc1[Mg+].[Br-]
Ethylene Oxide,C1CO1
Sulfuric Acid,O=S(=O)(O)O
2-Phenylethanol,OCCc1ccccc1
